feature,grid_value,species,mean_count
Temperature,24.6682,Gag Grouper (Sub-adult),0.011865
Temperature,24.6682,Red Drum (Recruit),0.021325
Temperature,24.6682,Red Drum (Sub-adult),0.187036
Temperature,25.434,Sheepshead (Adult),0.169935
Temperature,25.434,Sheepshead (Recruit),0.016999
Temperature,25.434,Blue Crab (Recruit),0.237011
Temperature,25.434,Common Snook (Adult),0.363563
Temperature,25.434,Common Snook (Sub-adult),0.007052
Temperature,25.434,Spotted Seatrout (Adult),0.068689
Temperature,25.434,Spotted Seatrout (Recruit),0.248648
Temperature,25.434,Gray Snapper (Recruit),0.027663
Temperature,25.434,Gray Snapper (Sub-adult),0.050702
Temperature,25.434,Gag Grouper (Sub-adult),0.012258
Temperature,25.434,Red Drum (Recruit),0.021333
Temperature,25.434,Red Drum (Sub-adult),0.185001
Temperature,26.1999,Sheepshead (Adult),0.168134
Temperature,26.1999,Sheepshead (Recruit),0.016808
Temperature,26.1999,Blue Crab (Recruit),0.234699
Temperature,26.1999,Common Snook (Adult),0.367599
Temperature,26.1999,Common Snook (Sub-adult),0.007104
Temperature,26.1999,Spotted Seatrout (Adult),0.066981
Temperature,26.1999,Spotted Seatrout (Recruit),0.251547
Temperature,26.1999,Gray Snapper (Recruit),0.028194
Temperature,26.1999,Gray Snapper (Sub-adult),0.05173
Temperature,26.1999,Gag Grouper (Sub-adult),0.01266
Temperature,26.1999,Red Drum (Recruit),0.021315
Temperature,26.1999,Red Drum (Sub-adult),0.182973
Temperature,26.9658,Sheepshead (Adult),0.166536
Temperature,26.9658,Sheepshead (Recruit),0.016607
Temperature,26.9658,Blue Crab (Recruit),0.2326
Temperature,26.9658,Common Snook (Adult),0.371504
Temperature,26.9658,Common Snook (Sub-adult),0.00715
Temperature,26.9658,Spotted Seatrout (Adult),0.065366
Temperature,26.9658,Spotted Seatrout (Recruit),0.254484
Temperature,26.9658,Gray Snapper (Recruit),0.02869
Temperature,26.9658,Gray Snapper (Sub-adult),0.05284
Temperature,26.9658,Gag Grouper (Sub-adult),0.013063
Temperature,26.9658,Red Drum (Recruit),0.021275
Temperature,26.9658,Red Drum (Sub-adult),0.180959
Temperature,27.7317,Sheepshead (Adult),0.165064
Temperature,27.7317,Sheepshead (Recruit),0.016409
Temperature,27.7317,Blue Crab (Recruit),0.230626
Temperature,27.7317,Common Snook (Adult),0.375251
Temperature,27.7317,Common Snook (Sub-adult),0.007197
Temperature,27.7317,Spotted Seatrout (Adult),0.063771
Temperature,27.7317,Spotted Seatrout (Recruit),0.257605
Temperature,27.7317,Gray Snapper (Recruit),0.029179
Temperature,27.7317,Gray Snapper (Sub-adult),0.054056
Temperature,27.7317,Gag Grouper (Sub-adult),0.013481
Temperature,27.7317,Red Drum (Recruit),0.021214
Temperature,27.7317,Red Drum (Sub-adult),0.178929
Temperature,28.4976,Sheepshead (Adult),0.163722
Temperature,28.4976,Sheepshead (Recruit),0.016219
Temperature,28.4976,Blue Crab (Recruit),0.228769
Temperature,28.4976,Common Snook (Adult),0.378867
Temperature,28.4976,Common Snook (Sub-adult),0.007242
Temperature,28.4976,Spotted Seatrout (Adult),0.062239
Temperature,28.4976,Spotted Seatrout (Recruit),0.260817
Temperature,28.4976,Gray Snapper (Recruit),0.029637
Temperature,28.4976,Gray Snapper (Sub-adult),0.055383
Temperature,28.4976,Gag Grouper (Sub-adult),0.013912
Temperature,28.4976,Red Drum (Recruit),0.021132
Temperature,28.4976,Red Drum (Sub-adult),0.176938
Temperature,29.2635,Sheepshead (Adult),0.162644
Temperature,29.2635,Sheepshead (Recruit),0.016021
Temperature,29.2635,Blue Crab (Recruit),0.226985
Temperature,29.2635,Common Snook (Adult),0.382576
Temperature,29.2635,Common Snook (Sub-adult),0.007281
Temperature,29.2635,Spotted Seatrout (Adult),0.060852
Temperature,29.2635,Spotted Seatrout (Recruit),0.264105
Temperature,29.2635,Gray Snapper (Recruit),0.030078
Temperature,29.2635,Gray Snapper (Sub-adult),0.056827
Temperature,29.2635,Gag Grouper (Sub-adult),0.014354
Temperature,29.2635,Red Drum (Recruit),0.021094
Temperature,29.2635,Red Drum (Sub-adult),0.175054
Temperature,30.0294,Sheepshead (Adult),0.161746
Temperature,30.0294,Sheepshead (Recruit),0.015817
Temperature,30.0294,Blue Crab (Recruit),0.225315
Temperature,30.0294,Common Snook (Adult),0.386251
Temperature,30.0294,Common Snook (Sub-adult),0.007333
Temperature,30.0294,Spotted Seatrout (Adult),0.059639
Temperature,30.0294,Spotted Seatrout (Recruit),0.267554
Temperature,30.0294,Gray Snapper (Recruit),0.030518
Temperature,30.0294,Gray Snapper (Sub-adult),0.058382
Temperature,30.0294,Gag Grouper (Sub-adult),0.014798
Temperature,30.0294,Red Drum (Recruit),0.021118
Temperature,30.0294,Red Drum (Sub-adult),0.173268
Temperature,30.7953,Sheepshead (Adult),0.160923
Temperature,30.7953,Sheepshead (Recruit),0.015623
Temperature,30.7953,Blue Crab (Recruit),0.223794
Temperature,30.7953,Common Snook (Adult),0.389861
Temperature,30.7953,Common Snook (Sub-adult),0.007389
Temperature,30.7953,Spotted Seatrout (Adult),0.058485
Temperature,30.7953,Spotted Seatrout (Recruit),0.271146
Temperature,30.7953,Gray Snapper (Recruit),0.030949
Temperature,30.7953,Gray Snapper (Sub-adult),0.060042
Temperature,30.7953,Gag Grouper (Sub-adult),0.015259
Temperature,30.7953,Red Drum (Recruit),0.021142
Temperature,30.7953,Red Drum (Sub-adult),0.171544
Salinity,3.5217,Sheepshead (Adult),0.175825
Salinity,3.5217,Sheepshead (Recruit),0.013363
Salinity,3.5217,Blue Crab (Recruit),0.254157
Salinity,3.5217,Common Snook (Adult),0.375725
Salinity,3.5217,Common Snook (Sub-adult),0.006206
Salinity,3.5217,Spotted Seatrout (Adult),0.074238
Salinity,3.5217,Spotted Seatrout (Recruit),0.34569
Salinity,3.5217,Gray Snapper (Recruit),0.051115
Salinity,3.5217,Gray Snapper (Sub-adult),0.054262
Salinity,3.5217,Gag Grouper (Sub-adult),0.009958
Salinity,3.5217,Red Drum (Recruit),0.020099
Salinity,3.5217,Red Drum (Sub-adult),0.20086
Salinity,5.0766,Sheepshead (Adult),0.175226
Salinity,5.0766,Sheepshead (Recruit),0.013594
Salinity,5.0766,Blue Crab (Recruit),0.254112
Salinity,5.0766,Common Snook (Adult),0.375492
Salinity,5.0766,Common Snook (Sub-adult),0.006232
Salinity,5.0766,Spotted Seatrout (Adult),0.074251
Salinity,5.0766,Spotted Seatrout (Recruit),0.339146
Salinity,5.0766,Gray Snapper (Recruit),0.048671
Salinity,5.0766,Gray Snapper (Sub-adult),0.054297
Salinity,5.0766,Gag Grouper (Sub-adult),0.010138
Salinity,5.0766,Red Drum (Recruit),0.020186
Salinity,5.0766,Red Drum (Sub-adult),0.199832
Salinity,6.6316,Sheepshead (Adult),0.174656
Salinity,6.6316,Sheepshead (Recruit),0.013835
Salinity,6.6316,Blue Crab (Recruit),0.254063
Salinity,6.6316,Common Snook (Adult),0.375216
Salinity,6.6316,Common Snook (Sub-adult),0.006237
Salinity,6.6316,Spotted Seatrout (Adult),0.074178
Salinity,6.6316,Spotted Seatrout (Recruit),0.332704
Salinity,6.6316,Gray Snapper (Recruit),0.046457
Salinity,6.6316,Gray Snapper (Sub-adult),0.054316
Salinity,6.6316,Gag Grouper (Sub-adult),0.010321
Salinity,6.6316,Red Drum (Recruit),0.020233
Salinity,6.6316,Red Drum (Sub-adult),0.198871
Salinity,8.1866,Sheepshead (Adult),0.174149
Salinity,8.1866,Sheepshead (Recruit),0.014083
Salinity,8.1866,Blue Crab (Recruit),0.25406
Salinity,8.1866,Common Snook (Adult),0.374784
Salinity,8.1866,Common Snook (Sub-adult),0.006256
Salinity,8.1866,Spotted Seatrout (Adult),0.074155
Salinity,8.1866,Spotted Seatrout (Recruit),0.326387
Salinity,8.1866,Gray Snapper (Recruit),0.044498
Salinity,8.1866,Gray Snapper (Sub-adult),0.054342
Salinity,8.1866,Gag Grouper (Sub-adult),0.010502
Salinity,8.1866,Red Drum (Recruit),0.020304
Salinity,8.1866,Red Drum (Sub-adult),0.197944
Salinity,9.7416,Sheepshead (Adult),0.173661
Salinity,9.7416,Sheepshead (Recruit),0.014332
Salinity,9.7416,Blue Crab (Recruit),0.254066
Salinity,9.7416,Common Snook (Adult),0.374152
Salinity,9.7416,Common Snook (Sub-adult),0.006286
Salinity,9.7416,Spotted Seatrout (Adult),0.074134
Salinity,9.7416,Spotted Seatrout (Recruit),0.32027
Salinity,9.7416,Gray Snapper (Recruit),0.042686
Salinity,9.7416,Gray Snapper (Sub-adult),0.054388
Salinity,9.7416,Gag Grouper (Sub-adult),0.010682
Salinity,9.7416,Red Drum (Recruit),0.020368
Salinity,9.7416,Red Drum (Sub-adult),0.197112
Salinity,11.2966,Sheepshead (Adult),0.17318
Salinity,11.2966,Sheepshead (Recruit),0.014569
Salinity,11.2966,Blue Crab (Recruit),0.254035
Salinity,11.2966,Common Snook (Adult),0.373352
Salinity,11.2966,Common Snook (Sub-adult),0.006322
Salinity,11.2966,Spotted Seatrout (Adult),0.074078
Salinity,11.2966,Spotted Seatrout (Recruit),0.314248
Salinity,11.2966,Gray Snapper (Recruit),0.040988
Salinity,11.2966,Gray Snapper (Sub-adult),0.054438
Salinity,11.2966,Gag Grouper (Sub-adult),0.010859
Salinity,11.2966,Red Drum (Recruit),0.020444
Salinity,11.2966,Red Drum (Sub-adult),0.196313
Salinity,12.8516,Sheepshead (Adult),0.1727
Salinity,12.8516,Sheepshead (Recruit),0.014797
Salinity,12.8516,Blue Crab (Recruit),0.253963
Salinity,12.8516,Common Snook (Adult),0.372437
Salinity,12.8516,Common Snook (Sub-adult),0.006356
Salinity,12.8516,Spotted Seatrout (Adult),0.074021
Salinity,12.8516,Spotted Seatrout (Recruit),0.308304
Salinity,12.8516,Gray Snapper (Recruit),0.039385
Salinity,12.8516,Gray Snapper (Sub-adult),0.054479
Salinity,12.8516,Gag Grouper (Sub-adult),0.011036
Salinity,12.8516,Red Drum (Recruit),0.020529
Salinity,12.8516,Red Drum (Sub-adult),0.195546
Salinity,14.4065,Sheepshead (Adult),0.172237
Salinity,14.4065,Sheepshead (Recruit),0.015022
Salinity,14.4065,Blue Crab (Recruit),0.253943
Salinity,14.4065,Common Snook (Adult),0.371495
Salinity,14.4065,Common Snook (Sub-adult),0.006403
Salinity,14.4065,Spotted Seatrout (Adult),0.073976
Salinity,14.4065,Spotted Seatrout (Recruit),0.302456
Salinity,14.4065,Gray Snapper (Recruit),0.037887
Salinity,14.4065,Gray Snapper (Sub-adult),0.054506
Salinity,14.4065,Gag Grouper (Sub-adult),0.011211
Salinity,14.4065,Red Drum (Recruit),0.020641
Salinity,14.4065,Red Drum (Sub-adult),0.194846
Salinity,15.9615,Sheepshead (Adult),0.171698
Salinity,15.9615,Sheepshead (Recruit),0.015239
Salinity,15.9615,Blue Crab (Recruit),0.25405
Salinity,15.9615,Common Snook (Adult),0.370416
Salinity,15.9615,Common Snook (Sub-adult),0.006462
Salinity,15.9615,Spotted Seatrout (Adult),0.073882
Salinity,15.9615,Spotted Seatrout (Recruit),0.296849
Salinity,15.9615,Gray Snapper (Recruit),0.036471
Salinity,15.9615,Gray Snapper (Sub-adult),0.054532
Salinity,15.9615,Gag Grouper (Sub-adult),0.011389
Salinity,15.9615,Red Drum (Recruit),0.020768
Salinity,15.9615,Red Drum (Sub-adult),0.194119
Salinity,17.5165,Sheepshead (Adult),0.171195
Salinity,17.5165,Sheepshead (Recruit),0.015442
Salinity,17.5165,Blue Crab (Recruit),0.254142
Salinity,17.5165,Common Snook (Adult),0.369311
Salinity,17.5165,Common Snook (Sub-adult),0.006531
Salinity,17.5165,Spotted Seatrout (Adult),0.073811
Salinity,17.5165,Spotted Seatrout (Recruit),0.291341
Salinity,17.5165,Gray Snapper (Recruit),0.035136
Salinity,17.5165,Gray Snapper (Sub-adult),0.054595
Salinity,17.5165,Gag Grouper (Sub-adult),0.011571
Salinity,17.5165,Red Drum (Recruit),0.020943
Salinity,17.5165,Red Drum (Sub-adult),0.193451
Salinity,19.0715,Sheepshead (Adult),0.170675
Salinity,19.0715,Sheepshead (Recruit),0.015633
Salinity,19.0715,Blue Crab (Recruit),0.254226
Salinity,19.0715,Common Snook (Adult),0.368183
Salinity,19.0715,Common Snook (Sub-adult),0.006605
Salinity,19.0715,Spotted Seatrout (Adult),0.073689
Salinity,19.0715,Spotted Seatrout (Recruit),0.285907
Salinity,19.0715,Gray Snapper (Recruit),0.033858
Salinity,19.0715,Gray Snapper (Sub-adult),0.054636
Salinity,19.0715,Gag Grouper (Sub-adult),0.011754
Salinity,19.0715,Red Drum (Recruit),0.021087
Salinity,19.0715,Red Drum (Sub-adult),0.192788
Salinity,20.6265,Sheepshead (Adult),0.170167
Salinity,20.6265,Sheepshead (Recruit),0.015806
Salinity,20.6265,Blue Crab (Recruit),0.254241
Salinity,20.6265,Common Snook (Adult),0.366999
Salinity,20.6265,Common Snook (Sub-adult),0.006676
Salinity,20.6265,Spotted Seatrout (Adult),0.073527
Salinity,20.6265,Spotted Seatrout (Recruit),0.280534
Salinity,20.6265,Gray Snapper (Recruit),0.03264
Salinity,20.6265,Gray Snapper (Sub-adult),0.054656
Salinity,20.6265,Gag Grouper (Sub-adult),0.011933
Salinity,20.6265,Red Drum (Recruit),0.021206
Salinity,20.6265,Red Drum (Sub-adult),0.192106
Salinity,22.1814,Sheepshead (Adult),0.169641
Salinity,22.1814,Sheepshead (Recruit),0.015971
Salinity,22.1814,Blue Crab (Recruit),0.254233
Salinity,22.1814,Common Snook (Adult),0.365853
Salinity,22.1814,Common Snook (Sub-adult),0.006757
Salinity,22.1814,Spotted Seatrout (Adult),0.073342
Salinity,22.1814,Spotted Seatrout (Recruit),0.275403
Salinity,22.1814,Gray Snapper (Recruit),0.03149
Salinity,22.1814,Gray Snapper (Sub-adult),0.054692
Salinity,22.1814,Gag Grouper (Sub-adult),0.012111
Salinity,22.1814,Red Drum (Recruit),0.021319
Salinity,22.1814,Red Drum (Sub-adult),0.19139
Salinity,23.7364,Sheepshead (Adult),0.169156
Salinity,23.7364,Sheepshead (Recruit),0.016114
Salinity,23.7364,Blue Crab (Recruit),0.254189
Salinity,23.7364,Common Snook (Adult),0.364683
Salinity,23.7364,Common Snook (Sub-adult),0.006836
Salinity,23.7364,Spotted Seatrout (Adult),0.073173
Salinity,23.7364,Spotted Seatrout (Recruit),0.27034
Salinity,23.7364,Gray Snapper (Recruit),0.030399
Salinity,23.7364,Gray Snapper (Sub-adult),0.054734
Salinity,23.7364,Gag Grouper (Sub-adult),0.012288
Salinity,23.7364,Red Drum (Recruit),0.02144
Salinity,23.7364,Red Drum (Sub-adult),0.190687
Salinity,25.2914,Sheepshead (Adult),0.168747
Salinity,25.2914,Sheepshead (Recruit),0.016249
Salinity,25.2914,Blue Crab (Recruit),0.254159
Salinity,25.2914,Common Snook (Adult),0.363473
Salinity,25.2914,Common Snook (Sub-adult),0.00691
Salinity,25.2914,Spotted Seatrout (Adult),0.072998
Salinity,25.2914,Spotted Seatrout (Recruit),0.26532
Salinity,25.2914,Gray Snapper (Recruit),0.029374
Salinity,25.2914,Gray Snapper (Sub-adult),0.054803
Salinity,25.2914,Gag Grouper (Sub-adult),0.012454
Salinity,25.2914,Red Drum (Recruit),0.021559
Salinity,25.2914,Red Drum (Sub-adult),0.189921
Salinity,26.8464,Sheepshead (Adult),0.168322
Salinity,26.8464,Sheepshead (Recruit),0.016358
Salinity,26.8464,Blue Crab (Recruit),0.253987
Salinity,26.8464,Common Snook (Adult),0.362232
Salinity,26.8464,Common Snook (Sub-adult),0.006975
Salinity,26.8464,Spotted Seatrout (Adult),0.07279
Salinity,26.8464,Spotted Seatrout (Recruit),0.260437
Salinity,26.8464,Gray Snapper (Recruit),0.028429
Salinity,26.8464,Gray Snapper (Sub-adult),0.05488
Salinity,26.8464,Gag Grouper (Sub-adult),0.012613
Salinity,26.8464,Red Drum (Recruit),0.021663
Salinity,26.8464,Red Drum (Sub-adult),0.189108
Salinity,28.4014,Sheepshead (Adult),0.167963
Salinity,28.4014,Sheepshead (Recruit),0.016467
Salinity,28.4014,Blue Crab (Recruit),0.253855
Salinity,28.4014,Common Snook (Adult),0.361078
Salinity,28.4014,Common Snook (Sub-adult),0.007045
Salinity,28.4014,Spotted Seatrout (Adult),0.072578
Salinity,28.4014,Spotted Seatrout (Recruit),0.255552
Salinity,28.4014,Gray Snapper (Recruit),0.027553
Salinity,28.4014,Gray Snapper (Sub-adult),0.054972
Salinity,28.4014,Gag Grouper (Sub-adult),0.012767
Salinity,28.4014,Red Drum (Recruit),0.021767
Salinity,28.4014,Red Drum (Sub-adult),0.188275
Salinity,29.9564,Sheepshead (Adult),0.16761
Salinity,29.9564,Sheepshead (Recruit),0.01659
Salinity,29.9564,Blue Crab (Recruit),0.253733
Salinity,29.9564,Common Snook (Adult),0.359967
Salinity,29.9564,Common Snook (Sub-adult),0.007109
Salinity,29.9564,Spotted Seatrout (Adult),0.072335
Salinity,29.9564,Spotted Seatrout (Recruit),0.250948
Salinity,29.9564,Gray Snapper (Recruit),0.026731
Salinity,29.9564,Gray Snapper (Sub-adult),0.055082
Salinity,29.9564,Gag Grouper (Sub-adult),0.012919
Salinity,29.9564,Red Drum (Recruit),0.02188
Salinity,29.9564,Red Drum (Sub-adult),0.187347
Salinity,31.5113,Sheepshead (Adult),0.16725
Salinity,31.5113,Sheepshead (Recruit),0.016705
Salinity,31.5113,Blue Crab (Recruit),0.253639
Salinity,31.5113,Common Snook (Adult),0.358804
Salinity,31.5113,Common Snook (Sub-adult),0.007173
Salinity,31.5113,Spotted Seatrout (Adult),0.072081
Salinity,31.5113,Spotted Seatrout (Recruit),0.246407
Salinity,31.5113,Gray Snapper (Recruit),0.025958
Salinity,31.5113,Gray Snapper (Sub-adult),0.055154
Salinity,31.5113,Gag Grouper (Sub-adult),0.013063
Salinity,31.5113,Red Drum (Recruit),0.021998
Salinity,31.5113,Red Drum (Sub-adult),0.186377
Salinity,33.0663,Sheepshead (Adult),0.166936
Salinity,33.0663,Sheepshead (Recruit),0.016826
Salinity,33.0663,Blue Crab (Recruit),0.253422
Salinity,33.0663,Common Snook (Adult),0.357699
Salinity,33.0663,Common Snook (Sub-adult),0.007243
Salinity,33.0663,Spotted Seatrout (Adult),0.071819
Salinity,33.0663,Spotted Seatrout (Recruit),0.24196
Salinity,33.0663,Gray Snapper (Recruit),0.025255
Salinity,33.0663,Gray Snapper (Sub-adult),0.055193
Salinity,33.0663,Gag Grouper (Sub-adult),0.013195
Salinity,33.0663,Red Drum (Recruit),0.0221
Salinity,33.0663,Red Drum (Sub-adult),0.185374
DissolvedO2,4.6833,Sheepshead (Adult),0.154018
DissolvedO2,4.6833,Sheepshead (Recruit),0.01604
DissolvedO2,4.6833,Blue Crab (Recruit),0.273914
DissolvedO2,4.6833,Common Snook (Adult),0.358285
DissolvedO2,4.6833,Common Snook (Sub-adult),0.006542
DissolvedO2,4.6833,Spotted Seatrout (Adult),0.062558
DissolvedO2,4.6833,Spotted Seatrout (Recruit),0.263695
DissolvedO2,4.6833,Gray Snapper (Recruit),0.026971
DissolvedO2,4.6833,Gray Snapper (Sub-adult),0.046797
DissolvedO2,4.6833,Gag Grouper (Sub-adult),0.012084
DissolvedO2,4.6833,Red Drum (Recruit),0.020625
DissolvedO2,4.6833,Red Drum (Sub-adult),0.184988
DissolvedO2,4.9328,Sheepshead (Adult),0.155703
DissolvedO2,4.9328,Sheepshead (Recruit),0.016032
DissolvedO2,4.9328,Blue Crab (Recruit),0.272198
DissolvedO2,4.9328,Common Snook (Adult),0.358573
DissolvedO2,4.9328,Common Snook (Sub-adult),0.006541
DissolvedO2,4.9328,Spotted Seatrout (Adult),0.063367
DissolvedO2,4.9328,Spotted Seatrout (Recruit),0.264277
DissolvedO2,4.9328,Gray Snapper (Recruit),0.027169
